date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
08/01/26,04:07:29,Thursday,4,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,04:22:41,Thursday,4,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,04:37:54,Thursday,4,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,04:53:06,Thursday,4,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,05:08:18,Thursday,5,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,05:23:30,Thursday,5,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,05:38:42,Thursday,5,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,05:53:53,Thursday,5,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,06:09:05,Thursday,6,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,06:24:18,Thursday,6,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,06:39:29,Thursday,6,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,06:54:40,Thursday,6,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,07:09:52,Thursday,7,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,07:25:05,Thursday,7,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,07:40:17,Thursday,7,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,07:55:28,Thursday,7,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,08:10:40,Thursday,8,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,08:25:53,Thursday,8,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,08:41:04,Thursday,8,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,08:56:15,Thursday,8,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,09:11:27,Thursday,9,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,09:26:40,Thursday,9,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,09:41:51,Thursday,9,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,09:57:03,Thursday,9,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,10:12:14,Thursday,10,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,10:27:27,Thursday,10,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,10:42:38,Thursday,10,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,10:57:50,Thursday,10,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,11:13:01,Thursday,11,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,11:28:14,Thursday,11,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,11:43:25,Thursday,11,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,11:58:37,Thursday,11,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,12:13:48,Thursday,12,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,12:29:01,Thursday,12,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,12:44:12,Thursday,12,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,12:59:23,Thursday,12,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,13:14:35,Thursday,13,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,13:29:48,Thursday,13,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,13:44:59,Thursday,13,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,14:00:11,Thursday,14,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,14:15:22,Thursday,14,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,14:30:35,Thursday,14,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,14:45:47,Thursday,14,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,15:00:59,Thursday,15,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,15:16:10,Thursday,15,0,0,1,3,1,1,1,1,1,4,1,1
